year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh,total_cases,avgyears_fileend_per1lakhcases,avgyears_filecourt_per1lakhcases
2018,Jammu and kashmir,3,0,2,1,746,176,0,0,48559,0.20572,10234,0.07336,86291,2.04383561643836,0.482191780821918
2010,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Jharkhand,7667,6,1096,6,2933,1194,6951,0.06951,6753,0.37744,18560,0.49551,56304,8.03561643835617,3.27123287671233
2012,Jharkhand,10552,9,1650,3,1634,548,319,0.00319,8180,0.51391,22142,0.66915,76004,4.47671232876712,1.5013698630137
2013,Jharkhand,10673,9,1921,2,1250,437,577,0.00577,10594,0.57275,30358,0.77039,87633,3.42465753424658,1.1972602739726
2014,Jharkhand,3584,0,793,6,2791,719,2015,0.02015,25088,0.11678,66090,0.22845,107528,7.64657534246575,1.96986301369863
2015,Jharkhand,4700,2,1258,5,1494,219,427,0.00427,35038,0.11442,100751,0.31881,136885,4.09315068493151,0.6
2016,Jharkhand,3,243,76,10,2198,293,800,0.008,36557,0.06619,92674,0.16415,130751,6.02191780821918,0.802739726027397
2017,Jharkhand,16,1342,113,1,468,47,1195,0.01195,51493,0.20621,120903,0.47497,175810,1.28219178082192,0.128767123287671
2018,Jharkhand,10,131,33,0,146,12,0,0,48983,0.17307,172878,0.60348,275310,0.4,0.032876712328767
2010,Karnataka,11151,0,626,26,1580,751,8083,0.08083,23965,0.23965,6822,0.38972,62937,4.32876712328767,2.05753424657534
2011,Karnataka,90865,0,4972,2,130,42,95279,0.95279,131638,5.90244,37327,4.95933,627571,0.356164383561644,0.115068493150685
2012,Karnataka,103497,0,6394,0,94,19,64144,0.64144,219683,6.46999,69383,4.79755,724072,0.257534246575342,0.052054794520548
2013,Karnataka,104421,3,6668,0,59,6,37618,0.37618,416007,7.54092,142443,4.80528,896535,0.161643835616438,0.016438356164384
2014,Karnataka,29782,0,1925,1,158,14,31305,0.31305,677739,2.21417,239326,0.98396,1029441,0.432876712328767,0.038356164383562
2015,Karnataka,29971,0,2055,0,119,9,26969,0.26969,793992,2.64322,257691,0.87121,1063633,0.326027397260274,0.024657534246575
2016,Karnataka,1,14477,0,2,188,17,34022,0.34022,786340,1.38116,284284,0.50496,1074358,0.515068493150685,0.046575342465754
2017,Karnataka,32,31053,0,1,67,7,57574,0.57574,766530,2.98348,320882,1.25317,1100310,0.183561643835616,0.019178082191781
2018,Karnataka,77,13387,0,1,53,7,56655,0.56655,609253,2.22356,248304,0.9728,1101515,0.145205479452055,0.019178082191781
2010,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Kerala,37778,0,1876,7,412,131,11020,0.1102,126159,1.72706,64374,1.10921,237080,1.12876712328767,0.358904109589041
2012,Kerala,44570,0,2705,1,243,72,2845,0.02845,161221,2.41531,84326,1.55751,335315,0.665753424657534,0.197260273972603
2013,Kerala,49062,0,3423,0,179,50,2471,0.02471,246912,3.06381,102878,1.62347,409259,0.49041095890411,0.136986301369863
2014,Kerala,16548,1,1095,1,387,94,1226,0.01226,338037,1.07699,171568,0.61546,557128,1.06027397260274,0.257534246575342
2015,Kerala,20138,3,1162,0,255,54,1679,0.01679,415601,1.33378,260649,0.84269,683450,0.698630136986301,0.147945205479452
2016,Kerala,10,7147,1,0,334,74,1651,0.01651,471067,0.84986,325297,0.58915,809819,0.915068493150685,0.202739726027397
2017,Kerala,6,11728,1,0,123,27,1723,0.01723,451384,1.81271,329977,1.34457,806106,0.336986301369863,0.073972602739726
2018,Kerala,5,6076,4,0,137,35,21,0.00021,323520,1.15777,235584,0.85448,705613,0.375342465753425,0.095890410958904
2010,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ladakh,0,0,0,0,84222222,74766666,0,0,2,0,0,0,3,0,0
2012,Ladakh,0,0,1,0,18923611,15095833,0,0,5,0.00011,1,5E-05,12,0,0
2013,Ladakh,3,0,1,0,10532132,7976177,0,0,15,0.00018,1,4E-05,19,0,0
2014,Ladakh,1,0,0,0,15938000,11501000,0,0,23,9E-05,1,2E-05,27,0,0
2015,Ladakh,6,0,0,0,4959250,3663250,0,0,45,0.00018,2,6E-05,58,13586.9863013699,0
2016,Ladakh,0,0,0,18903,2687712,1605482,0,0,84,0.00019,13,4E-05,128,7363.59452054795,0
2017,Ladakh,0,0,0,0,305769,66220,0,0,174,0.00095,31,0.00027,247,837.723287671233,0
2018,Ladakh,0,0,0,0,114173,15576,0,0,281,0.00086,71,0.00034,433,312.802739726027,0
2010,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Madhya Pradesh,46045,0,10636,5,274,104,67804,0.67804,103265,2.91663,103341,2.91739,395004,0.750684931506849,0.284931506849315
2012,Madhya Pradesh,47558,0,10083,5,225,71,48015,0.48015,120020,3.19767,111756,3.10358,443869,0.616438356164384,0.194520547945205
2013,Madhya Pradesh,61384,0,11422,2,143,32,38520,0.3852,159285,4.06424,150421,3.9756,556845,0.391780821917808,0.087671232876712
2014,Madhya Pradesh,17558,0,3053,9,401,69,27695,0.27695,222629,1.12437,212755,1.0999,681486,1.0986301369863,0.189041095890411
2015,Madhya Pradesh,18553,0,2667,5,295,44,28516,0.28516,236421,1.41638,221815,1.36493,671773,0.808219178082192,0.120547945205479
2016,Madhya Pradesh,0,0,0,2,392,48,16011,0.16011,355489,0.71265,305819,0.63918,743362,1.07397260273973,0.131506849315068
2017,Madhya Pradesh,0,0,0,0,114,11,0,0,417273,1.57515,344967,1.31364,816343,0.312328767123288,0.03013698630137
2018,Madhya Pradesh,0,0,0,0,81,11,0,0,372563,1.15646,275977,0.8647,812987,0.221917808219178,0.03013698630137
2010,Maharashtra,58186,0,17934,0,118,14,25128,0.25128,438241,4.38241,268981,4.28038,866279,0.323287671232877,0.038356164383562
2011,Maharashtra,59208,3,20518,0,111,11,35482,0.35482,427450,5.99856,270976,4.43382,870832,0.304109589041096,0.03013698630137
2012,Maharashtra,70791,1,27300,0,95,7,4108,0.04108,434537,6.81254,257844,4.87126,965560,0.26027397260274,0.019178082191781
2013,Maharashtra,59404,17,30938,0,80,5,5459,0.05459,559697,7.23711,315870,4.79884,1039581,0.219178082191781,0.013698630136986
2014,Maharashtra,17874,3,8801,0,243,15,6874,0.06874,716566,2.13807,351487,1.11073,1114737,0.665753424657534,0.041095890410959
2015,Maharashtra,23570,26,12715,0,147,8,8987,0.08987,871988,3.0639,384728,1.35965,1259036,0.402739726027397,0.021917808219178
2016,Maharashtra,4,2092,0,0,244,14,15243,0.15243,862462,1.5154,388091,0.68637,1253768,0.668493150684932,0.038356164383562
2017,Maharashtra,36,6998,0,0,78,5,27996,0.27996,913134,3.56258,385842,1.51728,1314965,0.213698630136986,0.013698630136986
2018,Maharashtra,33,3964,0,0,54,5,30456,0.30456,786753,2.6562,363602,1.27037,1374670,0.147945205479452,0.013698630136986
2010,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Manipur,250,0,18,56,110611,52642,49,0.00049,268,0.01164,12,0.00908,1176,303.043835616438,144.224657534247
2012,Manipur,513,0,40,74,34817,10691,0,0,328,0.02279,42,0.0195,2325,95.3890410958904,29.2904109589041
2013,Manipur,679,0,64,8,12336,2920,10,0.0001,1602,0.04277,267,0.02942,4544,33.7972602739726,8
2014,Manipur,210,0,11,6,6879,933,567,0.00567,7474,0.01757,5544,0.0133,13019,18.8465753424658,2.55616438356164
2015,Manipur,320,0,20,12,4494,367,434,0.00434,7501,0.02362,7350,0.02335,14851,12.3123287671233,1.00547945205479
2016,Manipur,0,0,0,18,8655,550,0,0,8746,0.01179,6981,0.01,15727,23.7123287671233,1.50684931506849
